book_tag,title,book_id,infos,desc,book_url
历史,"欧洲之门


    
       : 乌克兰2000年史",26983915,(美) 浦洛基 / 曾毅 / 中信出版社 / 2019-3 / 88.00,乌克兰，地处欧亚大草原西缘文明的断层线上，诞生于东方和西方的相遇，许多个世纪以来都是通往欧洲的门户。当战争和冲突到来，关闭的欧洲之门成为阻挡东来或西来侵略者...,https://book.douban.com/subject/26983915/
历史,万历十五年,1041482,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，...,https://book.douban.com/subject/1041482/
历史,"祥瑞


    
       : 王莽和他的时代",35519560,张向荣 / 上海人民出版社 / 2021-8 / 79.80元,"★上追尧舜，禅让称帝，王莽究竟是民选的圣主，还是篡汉的罪人？
★新锐文史作家、网红书评人张向荣首部历史非虚构作品
★罗新、刘勃、陆大鹏力荐
★搁置定论，厘清...",https://book.douban.com/subject/35519560/
历史,"天朝的崩溃（修订版）


    
       : 鸦片战争再研究",25935941,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,本书大量使用中国第一历史档案馆所藏清朝奏折，和英国所藏中英交涉文件、日本学者汇编资料集等等，详尽考订并重建了与战争相关的大量基本史实。作者抓住几个主要人物为...,https://book.douban.com/subject/25935941/
历史,"秦制两千年


    
       : 封建帝王的权力规则",35356472,谌旭彬 / 浙江人民出版社 / 2021-7 / 88.00,"百代都行秦政制。——毛泽东
中国两千多年的制度，犹秦制也。——梁启超
中国社会自周朝之后就长期实行秦制。正是由于中国社会的此一政治传统延续了大约有两千年之久...",https://book.douban.com/subject/35356472/
历史,"明朝那些事儿（1-9）


    
       : 限量版",3674537,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,《明朝那些事儿》讲述从1344年到1644年，明朝三百年间的历史。作品以史料为基础，以年代和具体人物为主线，运用小说的笔法，对明朝十七帝和其他王公权贵和小人...,https://book.douban.com/subject/3674537/
历史,中国历代政治得失,1003479,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,《中国历代政治得失》为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政府组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要勾玄的概观...,https://book.douban.com/subject/1003479/
历史,"叫魂


    
       : 1768年中国妖术大恐慌",25912076,[美] 孔飞力 / 陈兼、刘昶 / 生活·读书·新知三联书店 上海三联书店 / 2014-6 / 38.00元,本书讲述的是一个关于“盛世妖术”的故事。在中国的千年帝制时代，乾隆皇帝可谓是空前绝后的一人。他建立并巩固起来的大清帝国达到了权力与威望的顶端。然而整个大清的...,https://book.douban.com/subject/25912076/
历史,现代中国的形成（1600—1949）,35662692,李怀印 / 广西师范大学出版社 / 2022-2 / 89.00元,一部视野宏大、新见迭出的中国近现代史著作。今天的中国究竟从何而来？本书聚焦地缘政治、财政构造和政治认同三个关键因素，全面论述十七至二十世纪现代中国的形成过程...,https://book.douban.com/subject/35662692/
历史,魏晋南北朝,35671921,[日] 川胜义雄 / 林晓光 / 九州出版社 / 2022-1 / 88.00元,"日本汉学大师以超越王朝更迭的宏阔视野
书写华丽的黑暗时代
★编辑推荐
◎适合大众阅读的经典六朝史
日本汉学大师川胜义雄写给大众的经典魏晋南北朝通史，日本文库...",https://book.douban.com/subject/35671921/
历史,"人类简史


    
       : 从动物到上帝",25985021,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,"十万年前，地球上至少有六种不同的人
但今日，世界舞台为什么只剩下了我们自己？
从只能啃食虎狼吃剩的残骨的猿人，到跃居食物链顶端的智人，
从雪维洞穴壁上的原始...",https://book.douban.com/subject/25985021/
历史,"破碎的生活


    
       : 普通德国人经历的20世纪",35702682,[美]康拉德·H.雅劳施 / 王晨 / 广西师范大学出版社 / 2022-1 / 108.00元,"一幅20世纪德国历史的完整图景，一部折射大时代的“小人物”群像
从纳粹独裁、二战、大屠杀、冷战到柏林墙倒塌
在充斥着杀戮与死亡的剧变中，普通人如何重建破碎的...",https://book.douban.com/subject/35702682/
历史,"黑毡上的北魏皇帝


    
       : 修订本",35709197,罗新 / 上海三联书店 / 2022-2 / 45,"北京大学罗新教授专业代表作修订再版
通过皇位继承仪式考察政治传统的连续与变异
以内亚视角重新思考中国历史
「编辑推荐」
★ 罗新教授专业代表作修订再版，新增...",https://book.douban.com/subject/35709197/
历史,"隳三都


    
       : 蒙古灭金围城史",35336328,周思成 / 山西人民出版社 / 2021-1 / 68.00元,"内容简介：
12世纪，发祥于东北一隅的女真族迅速崛起，建立大金王朝，一度跃居东亚霸主地位。这个政权在极短时间内灭亡辽国，令西夏和高丽俯首称臣，使北宋蒙受“靖...",https://book.douban.com/subject/35336328/
历史,清代地方政府,35713871,瞿同祖 / 范忠信、何鹏、晏锋 / 新星出版社 / 2022-2 / 78.00元,"◎著名史学家、社会学家瞿同祖先生于学术巅峰时期写就的经典之作。
◎从人的角度，了解州县级地方政府的运作和基层治理逻辑，认识清帝国结构性集体腐败的根源。
◎哈...",https://book.douban.com/subject/35713871/
历史,"民族的神话


    
       : 欧洲的中世纪起源",35147173,[美]帕特里克·格里 / 吕昭、杨光 / 广西师范大学出版社 / 2022-2 / 64.00元,本书揭示了古代晚期到中世纪早期欧洲族群演化的真实版本，内容囊括从古代希腊到20世纪南非长达两千多年的历史。浪漫主义政治哲学、“科学的”历史学、印欧语文学和民...,https://book.douban.com/subject/35147173/
历史,南明史（全2册）,35771873,顾诚 / 北京日报出版社 / 2022-3-20 / 129.90,"公元1644年，为甲申年。拿纪年来说，在明朝是崇祯十七年，清朝是顺治元年，大顺政权是永昌元年。
这一年的三月十九日，大顺军攻克北京，崇祯皇帝朱由检自缢身死；...",https://book.douban.com/subject/35771873/
历史,邓小平时代,20424526,[美] 傅高义 / 冯克利 / 生活·读书·新知三联书店 / 2013-1 / 88.00元,"邓小平深刻影响了中国历史和世界历史的走向，也改变了每一当代中国人的命运。解读邓小平的政治生涯及其行为逻辑，就是解读当代中国，解读个人命运背后的历史变局。
哈...",https://book.douban.com/subject/20424526/
历史,东晋门阀政治,10758290,田余庆 / 北京大学出版社 / 2012-5 / 49.00元,本书以丰富的史料和周密的考证分析，对中国中古历史中的门阀政治问题作了再探索，认为中外学者习称的魏晋南北朝门阀政治，实际上只存在于东晋一朝；门阀政治是皇权政治...,https://book.douban.com/subject/10758290/
历史,"全球通史


    
       : 从史前史到21世纪",10583099,(美) 斯塔夫里阿诺斯 / 吴象婴、梁赤民、董书慧、王昶 / 北京大学出版社 / 2012-2-1 / 168.00元,《全球通史》由斯塔夫里阿诺斯著，吴象婴、梁赤民、董书慧、王昶译，作者在本书中采用全新的史学观点和方法，将整个世界看作一个不可分割的有机的统一体，从全球的角度...,https://book.douban.com/subject/10583099/
历史,明朝那些事儿,7163250,当年明月 / 浙江人民出版社 / 2011-12-1 / 208.60,《明朝那些事儿》这篇文主要讲述的是从1344年到1644年这三百年间关于明朝的一些事情，以史料为基础，以年代和具体人物为主线，并加入了小说的笔法，对明朝十七...,https://book.douban.com/subject/7163250/
