Saidly Spain,Nicolas de Angelis,【古典吉他】六弦拨出的优美旋律
Gran Vals,Orquesta Lírica de Barcelona,【古典吉他】六弦拨出的优美旋律
Etude no. 1,Alvaro Pierri,【古典吉他】六弦拨出的优美旋律
Keyboard Sonata in G Major， K.431/L.365/P.83 (arr. R. Aussel for guitar),Vladimir Gorbach,【古典吉他】六弦拨出的优美旋律
6 Divertimentos， Op. 13,No. 1. Tempo di minuetto - Marc Teicholz,【古典吉他】六弦拨出的优美旋律
Napoléon Coste: 25 Etudes， Op. 38: No. 23 in A major,Moderato - Jeffrey McFadden,【古典吉他】六弦拨出的优美旋律
Regino Sainz de la Maza: La Frontera de Dios: III. Idilio,Franz Halász,【古典吉他】六弦拨出的优美旋律
36 Caprices， Op. 20,VII. Prestissimo - Pavel Steidl,【古典吉他】六弦拨出的优美旋律
Fernando Sor: Divertimentos， Op. 2,No. 5. Waltz - Norbert Kraft,【古典吉他】六弦拨出的优美旋律
Three Mazurkas,Adelita (阿德丽塔) - Julian Bream,【古典吉他】六弦拨出的优美旋律
Suite del recuerdo,Evocacion - Jason Vieaux,【古典吉他】六弦拨出的优美旋律
Rosita (罗西塔),Srdjan Bulat,【古典吉他】六弦拨出的优美旋律
Terremoto con Variazioni， Op. 1: Largo cantabile,Marcello Fantoni,【古典吉他】六弦拨出的优美旋律
Vals,Ana Vidovic,【古典吉他】六弦拨出的优美旋律
La catedral*,Preludio - Denis Azabagic,【古典吉他】六弦拨出的优美旋律
Fernando Sor: 6 Petites pieces， Op. 42,No. 2. Valse - Marc Teicholz,【古典吉他】六弦拨出的优美旋律
Das Orgelbuchlein， BWV 599-644: Ich ruf' zu dir， Herr Jesu Christ， BWV 639 (arr. G.A. Devine for guitar),Graham Anthony Devine,【古典吉他】六弦拨出的优美旋律
Mon per si ma mari (arr. F. da Milano for lute): Mon per si ma marie (arr. F. da Milano for guitar),Emanuele Buono,【古典吉他】六弦拨出的优美旋律
12 Etudes: No. 1.,Armen Doneyan,【古典吉他】六弦拨出的优美旋律
Fernando Sor: Fantaisie pour Guitare Seule， Op.58,Introduction: Andante largo - Nicholas Goluses,【古典吉他】六弦拨出的优美旋律
Stele,II. Dervish - Aleksandr Tsiboulski,【古典吉他】六弦拨出的优美旋律
Bolero,Andrea González Caballero,【古典吉他】六弦拨出的优美旋律
Moreno Torroba (Two Pieces from 'Castles in Spain': Torija),Andrés Segovia,【古典吉他】六弦拨出的优美旋律
Romance Anonimo (Juegos Prohibidos),Antonio De Lucena,【古典吉他】六弦拨出的优美旋律
Suite for solo cello No. 1 in G major， BWV 1007: Prelude (纯音乐),Andrés Segovia,【古典吉他】六弦拨出的优美旋律
Platero y Yo:I. Platero,Anton Baranov,【古典吉他】六弦拨出的优美旋律
Danza Caracteristica,Alvaro Pierri,【古典吉他】六弦拨出的优美旋律
Sonata No. 1， BWV 1001， In A Minor [Orig.G Minor]: Presto,Paul Galbraith,【古典吉他】六弦拨出的优美旋律
Fernando Sor: Studies， Op . 29,No. 13 in B major - Jeffrey McFadden,【古典吉他】六弦拨出的优美旋律
Johann Sebastian Bach: Cello Suite No.1 in G major， BWV 1007 (arr. I. Kulikova for guitar) ,I. Prelude - Irina Kulikova,【古典吉他】六弦拨出的优美旋律
Concerto Pour Une Voix,Francis Goya,【古典吉他】六弦拨出的优美旋律
8 Etudes,No. 22 in B Minor， Op. 35 - Norbert Kraft,【古典吉他】六弦拨出的优美旋律
An Idea (Passacaglia for Eli),Graham Anthony Devine,【古典吉他】六弦拨出的优美旋律
The Tom Thumb's Laugh,Vladimir Mikulka,【古典吉他】六弦拨出的优美旋律
Aquarelle,II. Valseana - Graham Anthony Devine,【古典吉他】六弦拨出的优美旋律
Collectici intim: No. 5. La Frisanca (Haste),Lazhar Cherouana,【古典吉他】六弦拨出的优美旋律
En Volos,Nirse Gonzalez,【古典吉他】六弦拨出的优美旋律
Prelude No. 1,Lex Vandyke,【古典吉他】六弦拨出的优美旋律
Etude No. 4b: Etude No. 4(b),Ricardo Gallen,【古典吉他】六弦拨出的优美旋律
Snon ar kristalle (arr. for guitar),Mats Bergström,【古典吉他】六弦拨出的优美旋律
Bambuco en Mi Menor: Bambuco en Mi,José Antonio Escobar,【古典吉他】六弦拨出的优美旋律
Sonatina canonica， Op. 196: I. Mosso， grazioso e leggero,Brasil Guitar Duo,【古典吉他】六弦拨出的优美旋律
Traditional: Romance for Guitar (纯音乐),John Williams,【古典吉他】六弦拨出的优美旋律
Tango No. 2， for guitar,Jeffrey McFadden,【古典吉他】六弦拨出的优美旋律
John Williams / Cavatina,Stanley Myers,【古典吉他】六弦拨出的优美旋律
24 Caprices， Op. 1,No. 24 in A Minor (Arr. For Guitar) - Marco Tamayo / Niccolò Paganini,【古典吉他】六弦拨出的优美旋律
ISAAC ALBENIZ: Asturias (Leyenda),Alirio Díaz,【古典吉他】六弦拨出的优美旋律
Gran Jota De Concierto,Tetra Guitar Quartet,【古典吉他】六弦拨出的优美旋律
