センチメンタルな愛慕心,鹿乃,
烟熏妆,G.E.M. 邓紫棋,
失落沙洲 (Live),徐佳莹,
春的临终,程璧,
你瞒我瞒,陈柏宇,
街灯晚餐,卫兰,
なわとび,久保ユリカ,
プレゼント,塩ノ谷早耶香,
自首,卫兰,
地尽头,关淑怡,
玻璃之情,张国荣,
忍不住想念,李佳薇,
グレゴリオ,古川本舗 / ちびた,
七友,梁汉文,
忘了,何洁,
放下 (钢琴版),刘亦菲,
当时的月亮,王菲,
一千零一个,杨千嬅,
共勉之,官恩娜,
吐露,衣笠道雄,
小城大事,杨千嬅,
prismatic fate,南條愛乃,
莫失莫忘,黎瑞恩,
叶子,阿桑,
蓝莲花,黄琬婷,
恋无可恋,古巨基,
难为自己,卫兰,曾经记起 时而忘却
蝴蝶吻,林一峰 / 黄馨,曾经记起 时而忘却
乐观,容祖儿,曾经记起 时而忘却
最高の片想い,タイナカ彩智,曾经记起 时而忘却
爱过我的好人,郑希怡,曾经记起 时而忘却
なんでもないや (movie ver.),上白石萌音,曾经记起 时而忘却
桜ナミダ,ももちひろこ,曾经记起 时而忘却
幸福车站,官恩娜,曾经记起 时而忘却
听说你爱我,钟嘉欣,曾经记起 时而忘却
笑顔にはかなわない,岡崎律子,曾经记起 时而忘却
向日葵之歌,汤旭,曾经记起 时而忘却
Fields of hope / ラクスクライン,田中理恵,曾经记起 时而忘却
透明で透き通って何にでもなれそうで,HaKU,曾经记起 时而忘却
夏草に君を想う,Aimer,曾经记起 时而忘却
城市稻草人,曹方,曾经记起 时而忘却
她说 (Live),杨丞琳 / 我可不是什么幺蛾子,曾经记起 时而忘却
小さなてのひら,riya,曾经记起 时而忘却
电灯胆,邓丽欣,曾经记起 时而忘却
海枯石烂,吴雨霏,曾经记起 时而忘却
我自问,古巨基,曾经记起 时而忘却
给自己的情书,王菲,曾经记起 时而忘却
富士山下,陈奕迅,曾经记起 时而忘却
最後のサヨナラ (ドラマedit),知英,曾经记起 时而忘却
歌に形はないけれど,花たん,曾经记起 时而忘却
回旋木马的终端,钟志荣 / 张兆鸿,曾经记起 时而忘却
聪明的寂寞,安妮朵拉,曾经记起 时而忘却
下一站天后,Twins,曾经记起 时而忘却
変わらないもの,96猫,曾经记起 时而忘却
恋文,やなぎなぎ,曾经记起 时而忘却
追,张国荣,曾经记起 时而忘却
炼金术,杨千嬅,曾经记起 时而忘却
ONE's hope,やなぎなぎ,曾经记起 时而忘却
日落时让恋爱终结,小肥,曾经记起 时而忘却
献世,陈小春,曾经记起 时而忘却
Letter Song,ヲタみん,曾经记起 时而忘却
野孩子,杨千嬅,曾经记起 时而忘却
不将就,李荣浩,曾经记起 时而忘却
好听,许茹芸,曾经记起 时而忘却
男人信什么 (Never Too Early 2018演唱会版),JW,曾经记起 时而忘却
us feat. ゆきな,risou,曾经记起 时而忘却
那些花儿,朴树,曾经记起 时而忘却
他不惯被爱,卫兰,曾经记起 时而忘却
うらなふ花は散りぬれど,WHITE-LIPS,曾经记起 时而忘却
一,AGA,曾经记起 时而忘却
如你一般的人,陶晶莹,曾经记起 时而忘却
一直,王筝,曾经记起 时而忘却
眠り桜(movie ver.),遊女,曾经记起 时而忘却
時の魔法,小木曽雪菜,曾经记起 时而忘却
怯,容祖儿,曾经记起 时而忘却
第36个故事,雷光夏,曾经记起 时而忘却
止まない雨に花束を,nayuta,曾经记起 时而忘却
微光,苏打绿,曾经记起 时而忘却
花海,中孝介,曾经记起 时而忘却
水星逆行,连诗雅,曾经记起 时而忘却
回旋木马的终端,梁咏琪,曾经记起 时而忘却
有心人,张国荣,曾经记起 时而忘却
ありがとう…（the Coquillage edtion）,KOKIA,曾经记起 时而忘却
雪催い,Rita,曾经记起 时而忘却
窗外,戴佩妮,曾经记起 时而忘却
殉情记,古巨基,曾经记起 时而忘却
君が呼ぶのなら,藤田麻衣子,曾经记起 时而忘却
八月,七尾旅人,曾经记起 时而忘却
情深说话未曾讲,卫兰,曾经记起 时而忘却
最爱,周慧敏,曾经记起 时而忘却
回电我,卫兰,曾经记起 时而忘却
回忆的沙漏,G.E.M.邓紫棋,曾经记起 时而忘却
你是此生最美的风景,JS,曾经记起 时而忘却
一直很安静,阿桑,曾经记起 时而忘却
我们的故事,卫兰,曾经记起 时而忘却
オレンジ (アニメVer.),seven oops,曾经记起 时而忘却
我本人,吴雨霏,曾经记起 时而忘却
輝きの庭～I'm not alone～,手嶌葵,曾经记起 时而忘却
Only Human,K,曾经记起 时而忘却
相逢何必曾相识,蒋志光 / 韦绮姗,曾经记起 时而忘却
不只爱情,区文诗,曾经记起 时而忘却
还记得,周柏豪,曾经记起 时而忘却
蝶々結び,Aimer,曾经记起 时而忘却
原谅,张玉华,曾经记起 时而忘却
花のうた,Meandi鸦缺,曾经记起 时而忘却
说一句,连诗雅,曾经记起 时而忘却
Not Just Another Girl,Robynn & Kendy,曾经记起 时而忘却
街灯晚餐 (Live),卫兰,曾经记起 时而忘却
メグメル,riya,曾经记起 时而忘却
再见二丁目,杨千嬅,曾经记起 时而忘却
白色恋人,游鸿明,曾经记起 时而忘却
暗涌,王菲,曾经记起 时而忘却
心拍数♯0822,染香,曾经记起 时而忘却
不想再见面,吴婉芳,曾经记起 时而忘却
喜帖街,谢安琪,曾经记起 时而忘却
给十年后的我,薛凯琪,曾经记起 时而忘却
富士山下 (Live),陈奕迅,曾经记起 时而忘却
我还是什么,关楚耀,曾经记起 时而忘却
瓶颈,徐佳莹,曾经记起 时而忘却
流浪者,吕莘,曾经记起 时而忘却
紫禁情,吴雨霏,曾经记起 时而忘却
おかえりなさい.,柴田淳,曾经记起 时而忘却
如果遇见你,陈翔,曾经记起 时而忘却
孤独患者,陈奕迅,曾经记起 时而忘却
被遗弃的公主,邓丽欣,曾经记起 时而忘却
劫后余生,钟舒漫,曾经记起 时而忘却
回遊魚の原風景,南壽あさ子,曾经记起 时而忘却
倾城,许美静,曾经记起 时而忘却
不可一世,卫兰,葉子 是不會飛翔的翅膀
爱情与河,Finn,葉子 是不會飛翔的翅膀
蛍,栗プリン,葉子 是不會飛翔的翅膀
黑白照,邓丽欣,葉子 是不會飛翔的翅膀
画 (Live Piano Session II),G.E.M.邓紫棋,葉子 是不會飛翔的翅膀
唯一的你,Hotcha,边缘地带 街灯路人
ありがとう・・・,KOKIA,边缘地带 街灯路人
オレンジ (Acoustic Ver.),seven oops,边缘地带 街灯路人
习惯了寂寞,牛奶咖啡,边缘地带 街灯路人
借我,谢春花,边缘地带 街灯路人
沙龙,陈奕迅,边缘地带 街灯路人
只要和你在一起,连诗雅,边缘地带 街灯路人
男人信什么,王灏儿 / 卫兰,边缘地带 街灯路人
Mascara (烟熏妆),G.E.M.邓紫棋,边缘地带 街灯路人
