Track name, Artist name, Album, Playlist name, Type
黑白照 (Live),Stephy Tang,看透 鄧麗欣演唱會,Library Songs,Favorite
魔鬼辣,Chen Li,悠長假期,Library Songs,Favorite
鬼迷心竅 (feat. 周華健),Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
飛,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
風櫃來的人+17歲女生的溫柔,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
頭盔,Kay Tse,Kontinue,Library Songs,Favorite
領悟,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
面對,Janice Vidal,In His Name,Library Songs,Favorite
霧雨に消えてゆく,Anri,OPUS 21,Library Songs,Favorite
雨燕,Chen Li,悠長假期,Library Songs,Favorite
難為自己,Janice Vidal,Imagine,Library Songs,Favorite
雞蛋與羔羊,Kay Tse,Kontinue,Library Songs,Favorite
陰天,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
陀螺,Wan Xiaoli,這一切沒有想像的那麼糟,Library Songs,Favorite
阿宗三件事,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
鐵蘭花,Janice Vidal,In His Name,Library Songs,Favorite
鏗鏘玫瑰,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
遠行,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
運動詩歌,Janice Vidal,In His Name,Library Songs,Favorite
走马,Chen Li,如也,Library Songs,Favorite
贪得,Chen Li,如也,Library Songs,Favorite
讀。匆匆 (OT:匆匆),Jian Ching Li,仍是異鄉人,Library Songs,Favorite
譯夢機,Qing Feng Wu,太空人,Library Songs,Favorite
誘惑的街,Fish Leong,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
街燈晚餐,Janice Vidal,Imagine,Library Songs,Favorite
街燈晚餐,Janice Vidal,街燈晚餐 - Single,Library Songs,Favorite
藍天白雲 (Sky Inside the Eyewall),Deserts Chang,神的遊戲,Library Songs,Favorite
艷火 (Pyrojewel),Deserts Chang,神的遊戲,Library Songs,Favorite
自首,Janice Vidal,自首 - Single,Library Songs,Favorite
脱缰,Chen Li,如也,Library Songs,Favorite
绝对占有相对自由,Chen Li,如也,Library Songs,Favorite
線的記憶,Qing Feng Wu,太空人,Library Songs,Favorite
給十年後的我,Fiona Sit,Electric Angel,Library Songs,Favorite
篋神,Kay Tse,Kontinue,Library Songs,Favorite
祝星,Chen Li,如也,Library Songs,Favorite
真心英雄,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
盡處,Juno Mak & Kay Tse,the album and the end of it,Library Songs,Favorite
瘋狂的陽光 (Lunatic's Sunbath),Deserts Chang,神的遊戲,Library Songs,Favorite
當愛已成往事 (feat. 梁靜茹),Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
男孩莊周,Qing Feng Wu,太空人,Library Songs,Favorite
生命中的精靈,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
珍妮絲的告白,Janice Vidal,Imagine,Library Songs,Favorite
玫瑰色的你 (Rose-Colored),Deserts Chang,神的遊戲,Library Songs,Favorite
玉人歌,Chen Li,悠長假期,Library Songs,Favorite
獨家村,Kay Tse,Kontinue,Library Songs,Favorite
煉金術,Miriam Yeung,電光幻影,Library Songs,Favorite
為你我受冷風吹,Fish Leong,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
游魚,Chen Li,悠長假期,Library Songs,Favorite
海枯石爛,Kary Ng,我本人,Library Songs,Favorite
沒有人知道+愛情少尉,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
水仙花之死,Qing Feng Wu,太空人,Library Songs,Favorite
比如世界,Chen Li,悠長假期,Library Songs,Favorite
殊途,Juno Mak,the album and the end of it,Library Songs,Favorite
正趣果上果,Chen Li,如也,Library Songs,Favorite
正視愛,Kay Tse,Kontinue,Library Songs,Favorite
棋子,Shirley Wong,天空,Library Songs,Favorite
未見過世面的招積,Kay Tse,未見過世面的招積 - Single,Library Songs,Favorite
暗湧,Faye Wong,敷衍,Library Songs,Favorite
易燃易爆炸,Chen Li,如也,Library Songs,Favorite
明明白白我的心 (feat. 梁靜茹),Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
早上好,Chen Li,悠長假期,Library Songs,Favorite
日子 (Fleeting Days),Deserts Chang,神的遊戲,Library Songs,Favorite
故鄉山川,Li Jian,音樂傲骨,Library Songs,Favorite
"摩西的煩惱 (feat. Phat, JB & AF)",Janice Vidal,In His Name,Library Songs,Favorite
"所以我愛 (feat. AF, Jill Vidal, SHIMICA & Daniel Chu)",Janice Vidal,In His Name,Library Songs,Favorite
我還是我,Janice Vidal,衛蘭,Library Songs,Favorite
我終於失去了你,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
我永遠珍惜你我,Shirley Wong,執迷不悔,Library Songs,Favorite
我是真的愛你,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
我是一隻小小鳥,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
我懷念的你,Janice Vidal,Imagine,Library Songs,Favorite
我想你要走了 (You Were Here With Me),Deserts Chang,神的遊戲,Library Songs,Favorite
我在切爾諾貝爾 等你,Juno Mak,the album and the end of it,Library Songs,Favorite
"我可以被這個世界淘汰,但不可以被世界擊敗",Kay Tse,Kontinue,Library Songs,Favorite
我們的故事,Janice Vidal,Imagine,Library Songs,Favorite
愛的代價,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
愛沒有假如,Janice Vidal,Imagine,Library Songs,Favorite
愛情有什麼道理,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
想親你,Juno Mak,the album and the end of it,Library Songs,Favorite
悠長假期,Chen Li,悠長假期,Library Songs,Favorite
忐忑,Kay Tse,the album and the end of it,Library Songs,Favorite
平凡故事,Jian Ching Li,仍是異鄉人,Library Songs,Favorite
希望,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
巴別塔慶典,Qing Feng Wu,太空人,Library Songs,Favorite
巨霧,Chen Li,悠長假期,Library Songs,Favorite
山丘,Jonathan Lee,山丘 - Single,Library Songs,Favorite
小城大事,Miriam Yeung,電光幻影,Library Songs,Favorite
實用音樂,Chen Li,悠長假期,Library Songs,Favorite
寂寞難耐,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
家門 (feat. 馮允謙),Janice Vidal,In His Name,Library Songs,Favorite
家明,Kay Tse,Kontinue,Library Songs,Favorite
孤獨患者,Eason Chan,?,Library Songs,Favorite
字典 與 聖經,麥浚龍 & Karena Lam,the album and the end of it,Library Songs,Favorite
姥姥,Jian Ching Li,仍是異鄉人,Library Songs,Favorite
如果你要離去,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
如何 (Through Our Lives),Deserts Chang,神的遊戲,Library Songs,Favorite
如也,Chen Li,如也,Library Songs,Favorite
奇妙能力歌,Chen Li,如也,Library Songs,Favorite
失憶鎮,Qing Feng Wu,太空人,Library Songs,Favorite
太空船,Qing Feng Wu,太空人,Library Songs,Favorite
太空人,Qing Feng Wu,太空人,Library Songs,Favorite
太空,Qing Feng Wu,太空人,Library Songs,Favorite
天空,Shirley Wong,天空,Library Songs,Favorite
大裂縫,Chen Li,悠長假期,Library Songs,Favorite
夢醒時分,Fish Leong,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
夜に駆ける,YOASOBI,夜に駆ける - Single,Library Songs,Favorite
在家鄉,Jian Ching Li,仍是異鄉人,Library Songs,Favorite
回音收集員,Qing Feng Wu,太空人,Library Songs,Favorite
回電我,Janice Vidal,Imagine,Library Songs,Favorite
囍帖街,Kay Tse,Binary,Library Songs,Favorite
問,Fish Leong,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
和自己賽跑的人,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
合唱歌,Juno Mak & Kay Tse,the album and the end of it,Library Songs,Favorite
合唱歌,Juno Mak & Kay Tse,合唱歌 - Single,Library Songs,Favorite
只要我們還有心,Janice Vidal,Imagine,Library Songs,Favorite
只想死於你身邊,Kay Tse,the album and the end of it,Library Songs,Favorite
历历万乡,Chen Li,如也,Library Songs,Favorite
"危險的,是 (Threat)",Deserts Chang,神的遊戲,Library Songs,Favorite
十倍奉還,Kay Tse,Kontinue,Library Songs,Favorite
十二樓,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
匆匆2017 (OT:匆匆),Jian Ching Li,仍是異鄉人,Library Songs,Favorite
勢不兩立,Kay Tse,Kontinue,Library Songs,Favorite
初戀 / Never Been Kissed,Eman Lam,Concert for Ex 2011 (Live),Library Songs,Favorite
出城,Jian Ching Li,仍是異鄉人,Library Songs,Favorite
凡人歌,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
最愛,Vivian Chow,萬千寵愛30首,Library Songs,Favorite
最好的時刻,Kay Tse,Kontinue,Library Songs,Favorite
再見二丁目,Miriam Yeung,One On One,Library Songs,Favorite
再度,Kay Tse,the album and the end of it,Library Songs,Favorite
共勉之,Ella Koon,共勉之 - Single,Library Songs,Favorite
兩者 (Significant Others),Deserts Chang,神的遊戲,Library Songs,Favorite
光,Chen Li,如也,Library Songs,Favorite
傾城,Mavis Hee,靜聽精彩十三首,Library Songs,Favorite
傷風,Qing Feng Wu,太空人,Library Songs,Favorite
傷心地鐵,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
你瞞我瞞,Jason Chan,Close Up - EP,Library Songs,Favorite
你像個孩子,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
伯利恆的主角,Janice Vidal,In His Name,Library Songs,Favorite
他不慣被愛,Janice Vidal,Imagine,Library Songs,Favorite
五言,Chen Li,如也,Library Songs,Favorite
不變的事,Jian Ching Li,仍是異鄉人,Library Songs,Favorite
不老,Kay Tse,the album and the end of it,Library Songs,Favorite
不灭,Chen Li,如也,Library Songs,Favorite
不歸,Juno Mak,the album and the end of it,Library Songs,Favorite
不只愛情,Angela Au,區文詩 - EP,Library Songs,Favorite
三生一吻,Kay Tse,the album and the end of it,Library Songs,Favorite
七楼,Chen Li,如也,Library Songs,Favorite
七友,Edmond Leung,Edmond Hits 48 (新曲+精選),Library Songs,Favorite
"一生所愛(電影""西遊記大結局之仙履奇緣""插曲)",Lowell Lo,Beyond Imagination,Library Songs,Favorite
一個人,Jonathan Lee,李宗盛的理性與感性作品音樂會,Library Songs,Favorite
クリスマスキャロルの頃には -NORTH FLOW-,MONKEY MAJIK × 稲垣潤一 × GAGLE,クリスマスキャロルの頃には -NORTH FLOW- - Single,Library Songs,Favorite
オリビアを聴きながら,Anri,ザ・杏里,Library Songs,Favorite
20 Times You,Chen Li,如也,Library Songs,Favorite
'Til I Fell In Love With You,Bob Dylan,Time Out of Mind,Library Songs,Favorite
ZOEA,anpu,ZOEA - Single,Library Songs,Favorite
You and the Night and the Music,Julie London,The Very Best of Julie London,Library Songs,Favorite
You & Me,Kengo Kurozumi,Pillow Talk,Library Songs,Favorite
Yoru Ga Akeruyo,supercell,Today Is a Beautiful Day,Library Songs,Favorite
"Yasashii Suisei - Comet (From ""Beastars S2"") [feat. Jonatan King]",Akano,"Yasashii Suisei - Comet (From ""Beastars S2"") [feat. Jonatan King] - Single",Library Songs,Favorite
Yakanhikou,Yoshitaka Minami,SOUTH OF THE BORDER,Library Songs,Favorite
Wonderland Yuuyami City,Atsuko Nina,Him,Library Songs,Favorite
Woman Like Me,Adele,30,Library Songs,Favorite
Woke,G.E.M.,Fearless,Library Songs,Favorite
Wind in the Rye,Li Jian,Wind in the Rye - Single,Library Songs,Favorite
Wild Side (feat. Lil C),Will Ali,Smile,Library Songs,Favorite
Who I Am,milet,Who I Am - EP,Library Songs,Favorite
Who I Am,milet,visions,Library Songs,Favorite
When We Were Young,Adele,25,Library Songs,Favorite
Water Under the Bridge,Adele,25,Library Songs,Favorite
