"brank","name","rate","ratepeople","中文名","话数","上映年度","片长","别名","放送开始","放送星期","原作","导演","脚本","分镜","演出","音乐","人物设定","分镜构图","美术监督","色彩设计","作画监督","摄影监督","原画","主题歌编曲","主题歌作曲","主题歌演出","企画","制片人","制作","动画制作","官方网站","url"
"1","カウボーイビバップ","9.1","7831","星际牛仔","26",,,"Cowboy Bebop 宇宙牛仔 赏金猎人 太空牛仔 恶男杰特","1998年10月23日","星期五","矢立肇","渡辺信一郎","渡辺信一郎、稲荷昭彦、横手美智子、信本敬子、村井さだゆき、佐藤大、山口亮太","渡辺信一郎、本郷みつる、飯田馬之介、都留稔幸、山内重保、森邦宏、赤根和樹、佐藤順一、武井良幸、山口祐司、佐藤育郎、岡村天斎","山田弘和、森邦宏、武井良幸、佐藤育郎、渡邊哲哉","シートベルツ、菅野よう子","川元利浩","入江泰浩",,"中山しほ子","しんぼたくろう、中田栄治、本橋秀之、菅野宏紀、逢坂浩司、小森高博、竹内浩志、川元利浩、後藤雅巳、佐野浩敏","大神洋一","逢坂浩司、中田栄治、後藤雅巳、小森高博、杉浦幸次、中村豊、伊藤嘉之、斎藤恒徳、鴨川浩、伊藤岳史、横山彰利、星和伸、大塚健、宮田忠明、吉田徹、川元利浩、菅野宏紀、橋本誠一、富岡隆司、井上英紀、岡真里子、津野田勝敏、入江泰浩、佐藤千春、高橋しんや、伊東伸高、高山朋浩、高見明男、吉川博明、大浪太","菅野よう子","菅野よう子","山根麻以","サンライズ","南雅彦",,"サンライズ","http://www.cowboybebop.org/；http://www.cowboy-bebop.net/index.html","https://bangumi.tv/subject/253"
"2","攻殻機動隊 S.A.C. 2nd GIG","9.1","4356","攻壳机动队 S.A.C. 2nd GIG","26",,,,"2004年1月1日",,"士郎正宗","神山健治","大松裕、藤咲淳一、櫻井圭記、菅正太郎、佐藤大、神山健治、松家雄一郎","岡村天斎、神山健治、河野利幸、松本淳、西村純二、下司泰弘、吉原正行、平松禎史、安藤真裕、橘正紀、布施木一喜","吉原正行、松本淳、橘正紀、布施木一喜、川崎逸朗、竹下健一、河野利幸","菅野よう子","後藤隆幸、西尾鉄也、りぱ","古川尚哉","竹田悠介","片山由美子","清水洋、村田俊治、後藤隆幸、小西賢一、芝美奈子、浅野恭司、西尾鉄也、新野量太、丸山宏一、中村悟","田中宏侍","中村悟、牧原亮太郎、玄馬宣彦、佐藤雅弘、西尾鉄也、井上鋭、千葉崇洋、伊藤岳史、浅野恭司、古屋勝悟、松田宗一郎、松林唯人、青山浩行、岸田隆宏、沖浦啓之、塩谷直義、安藤雅司、堀内博之、古川尚哉、鈴木博文、松尾慎、柿田英樹、芳垣祐介、藪野浩二、小倉陳利、森川聡子、井上俊之、高木弘樹、大久保徹、千葉崇明、伊藤嘉之、岩瀧智、濱洲英喜、小松英司、齋藤卓也、平松禎史","菅野よう子","菅野よう子","Origa","渡辺繁、石川光久","国崎久徳、松家雄一郎",,"Production I.G",,"https://bangumi.tv/subject/326"
"3","攻殻機動隊 STAND ALONE COMPLEX","9.1","5361","攻壳机动队 STAND ALONE COMPLEX","26",,,"Ghost in the Shell: Stand Alone Complex","2002年10月1日",,"士郎正宗","神山健治","神山健治、藤咲淳一、櫻井圭記、菅正太郎、佐藤大、寺戸信寿","河野利幸、橘正紀、吉原正行、神山健治、竹下健一、若林厚史、中村隆太郎、布施木一喜、松本淳、川崎逸朗、安藤真裕","河野利幸、橘正紀、吉原正行、大原実、竹下健一、若林厚史、中村隆太郎、布施木一喜、下司泰弘","菅野よう子","下村一、りぱ","古川尚哉、渡部隆","竹田悠介","片山由美子","玄馬宣彦、浅野恭司、後藤隆幸、須賀重行、海谷敏久、木﨑文智、中村悟、村田俊治、丸山宏一、前田明寿、植村淳、山口賢一、樋口香里","田中宏侍","桝田浩史、安藤真裕、中村豊、竹内哲也、金子秀一、浅野恭司、玄馬宣彦、井上俊之、吉田徹、桑名郁朗、Theresia Whinkler、鈴木博文、高橋英樹、千葉崇洋、古川尚哉、梅津泰臣、大久保徹、佐藤雅弘、橋本敬史、山口明子、高谷浩利、丸山宏一、川面恒介、丹澤学、伊藤良太、石井百合子、飯田悟、西井正典、矢萩利幸、緒方美枝子、井上敦子、日向正樹、松林唯人、荒川直樹、岡辰也、坂崎忠、中山勝一、星和伸、高木弘樹、宗崎暢芳、北原里美、窪田康高、海谷敏久、浜津武広、中原久文、坂本修司","菅野よう子","菅野よう子","Origa","石川光久、渡辺繁",,"Production I.G","Production I.G",,"https://bangumi.tv/subject/324"
"4","CLANNAD ～AFTER STORY～","9","12275",,"24(22+1+1)",,,,"2008年10月2日","星期四","Key/Visual Art's","石原立也","志茂文彦","北之原孝將、米田光良、坂本一也、石原立也、武本康弘、高雄統子、石立太一、山田尚子","米田光良、北之原孝將、高雄統子、石立太一、山田尚子、坂本一也、石原立也","折戸伸治、戸越まごめ、麻枝准","池田和美",,"篠原睦雄","竹田明代","堀口悠紀子、高橋真梨子、高橋博行、秋竹斉一、池田和美、西屋太志、植野千世子","山本倫","鴨居知世、高雄統子、石立太一、瀬崎利恵、山村卓也、河浪栄作、牟田亮平、堀口悠紀子、坂本一也、中川淳、植野千世子、内海紘子、岡野文恵、大橋勇吾、秋竹斉一、米田光良、高橋真梨子、斎藤敦史、高橋博行、門脇未来、中川裕佳子、浦田芳憲、水谷有吾、伊東優一、唐田洋、佐藤達也、内藤直、牧田昌也、多田夏美、羽根邦広、柏木平、中野江美子、引山佳代","ANANT-GARDE EYES","麻枝准","Lia",,"太布尚弘、中村伸一、八田陽子、中山佳久","ムービック、ポニーキャニオン、TBS","京都アニメーション","www.tbs.co.jp/clannad","https://bangumi.tv/subject/876"
"5","新世紀エヴァンゲリオン","8.9","13554","新世纪福音战士","26",,,"New Century Evangelion 新世纪天鹰战士 2000天鹰战士 EVA 天鹰战士 Neon Genesis Evangelion Shin Seiki Evangerion","1995年10月4日",,"GAINAX","庵野秀明","山口宏、榎戸洋司、磯光雄、樋口真嗣、庵野秀明、薩川昭夫","小黒晃、摩砂雪、庵野秀明、鶴巻和哉、樋口真嗣、岡村天斎、佐藤順一、杉山慶一、石堂宏之、加賀剛","水島精二、大塚雅彦、摩砂雪、増尾昭一、大原実、鶴巻和哉、岡村天斎、杉山慶一、渡邊哲哉、安藤健、高村彰、石堂宏之、加賀剛、羽生尚靖","鷺巣詩郎","貞本義行",,"加藤浩",,"貞本義行、鈴木俊二、摩砂雪、鶴巻和哉、吉成曜、河口俊夫、長谷川眞也、黄瀬和哉、重田智、本田雄、湖川友謙","黑田洋一","後藤圭二、古川尚也、福岡英典、高村和宏、今石洋之、橋本敬史、横山彰利、増尾昭一、松本憲生、長谷川眞也、岡村天斎、摩砂雪、庵野秀明、吉成曜、磯光雄、村木靖、本田雄、平松禎史、鶴巻和哉、吉田健一、中村豊、中山勝一、神戸洋行、永島明子、砂田茂樹、芳尾英明、小野田和由、もといぎひろあき、渡部英雄、湖川友謙、守岡英行、今掛勇、高岡希一、高木弘樹","大森俊之","Bart Howard、佐藤英敏","Claire、高橋洋子","GAINAX、Project Eva.","小林教子、杉山豊","テレビ東京、NAS","GAINAX、タツノコプロ",,"https://bangumi.tv/subject/265"
"6","攻殻機動隊","8.9","4563","攻壳机动队","1","1995-11-18","82分","攻殻機動隊 GHOST IN THE SHELL",,,"士郎正宗","押井守","伊藤和典","押井守","西久保瑞穂","川井憲次","沖浦啓之","沖浦啓之、渡部隆、黄瀬和哉、末武康光、竹内敦志","小倉宏昌","遊佐久美子","沖浦啓之、黄瀬和哉",,"斉藤哲人、石井明治、川崎博嗣、江口寿志、小村方宏治、江村豊秋、大島康弘、橋本敬史、井上俊之、黄瀬和哉、竹内敦志、荒川眞嗣、岡村天斎、星和伸、佐々木守、谷津美弥子、田中雄一、濱洲英喜、沖浦啓之、村木靖、新井浩一、吉原正行、安藤真裕、川名久美子、伊藤嘉之、大川弘義、磯光雄",,,,,,,"Production I.G",,"https://bangumi.tv/subject/237"
"7","新世紀エヴァンゲリオン劇場版 Air/まごころを、君に","8.9","6931","新世纪福音战士剧场版 Air/真心为你","2","1997年7月19日",,"新世紀エヴァンゲリオン劇場版 THE END OF EVANGELION NEON GENESSI EVANGELION Air/まごこるを、君に",,,"GAINAX、庵野秀明","鶴巻和哉","庵野秀明","佐藤順一、樋口真嗣、鶴巻和哉、摩砂雪、庵野秀明","大塚雅彦、鶴巻和哉、庵野秀明","鷺巣詩郎","貞本義行",,"加藤浩","高星晴美","本田雄、黄瀬和哉、庵野秀明、平松禎史","白井久男","庵野秀明、杉浦幸次、砂田茂樹、吉成曜、平井久司、河口俊夫、石井明治、平松禎史、今石洋之、亀井幹太、中山勝一、長谷川眞也、安藤真裕、小倉陳利、戸倉紀元、鴨川浩、岡村天斎、後藤隆幸、本田雄、磯光雄、前田真宏、黄瀬和哉、村木靖、摩砂雪",,,,"GAINAX","大月俊倫、石川光久",,"Production I.G、GAINAX",,"https://bangumi.tv/subject/6049"
"8","るろうに剣心 -明治剣客浪漫譚- 追憶編","8.9","3696","浪客剑心 追忆篇","4",,,,,,"和月伸宏","古橋一浩","十川誠志","細田守、松本淳、古橋一浩","清水明","岩崎琢","柳沢まさひで",,"萩原正巳","松本真司","柳沢まさひで、小林利充、中嶋敦子、松島晃","沖野雅英","中嶋敦子、阿部卓司、松島晃、高木弘樹、林明美、高橋和徳、佐藤雅弘、羽山淳一、松本憲生、松竹徳幸、鈴木博文、櫻井親良",,,,"長谷川洋",,"SPEビジュアルワークス","スタジオディーン","http://www.kenshin-tv.com/","https://bangumi.tv/subject/1728"
"9","鋼の錬金術師 FULLMETAL ALCHEMIST","8.8","10791","钢之炼金术师 FULLMETAL ALCHEMIST","64",,,"Fullmetal Alchemist: Brotherhood 钢之炼金术师 FA 钢之炼金术师 2009","2009年4月5日","星期天","荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊）","入江泰浩","菅正太郎、水上清資、大野木寛、津村米紀、土屋理敬","入江泰浩、矢野雄一郎、迫井政行、大橋誉志光、大原実、難波日登志、石平信司、タムラコータロー、佐藤清光、富沢信雄、三沢伸、寺東克己、池添隆博、十文字糺、寺岡巌、安藤真裕、大久保政雄、矢吹勉、福田道生","博史池畠、池添隆博、佐藤清光、矢吹勉、宮原秀二、田中孝行、石田暢、園田雅裕、三宅和男、友永和秀、小山田桂子、内田信吾、上田繁、末田宜史、荻原露光、筑紫大介、清水久敏、佐藤育郎","千住明","菅野宏紀",,"佐藤豪志","中尾総子","原田峰文、大城勝、安藤正浩、小澤円、野田康行、塚本知代美、川上哲也、飯島弘也、竹知仁美、橋本和紀、堀川耕一、永作友克、柴田淳、大貫健一、古俣太一、滝口禎一、田中裕介、鈴木勘太、青野厚司、小林祐、関口亮輔、大城勉、石野聡、佐古宗一郎、白井裕美子、野口寛明、五月二一、菅野宏紀、畑智司","古本真由子、武井良幸","伊藤秀次、柴田勝紀、小木曽伸吾、近岡直、外崎春雄、阿部慎吾、寺岡巌、川元利浩、桑名郁朗、佐古宗一郎、土屋祐太、小松英司、杉浦幸次、赤井俊文、羽山淳一、松林唯人、福島宏之、古俣太一、岡田万衣子、林隆祥、石井哲哉、水畑健二、沈宏、浅野直之、滝口禎一、田代雅子、井川麗奈、朴性厚、堀内博之、岩崎たいすけ、瀬川真矢、崎山北斗、入江泰浩、秦綾子、宇佐美皓一、山田誠、伊藤嘉之、冨岡寛、栗田新一、新井淳、仲盛文、木曽勇太、矢吹勉、中澤勇一、友永和秀、夏目真悟、山口賢一、いまざきいつき、まじろ、川上哲也、福岡英典、菅野宏紀、石原恵治、石川てつや、熊谷勝弘、中村豊、石野聡、りょーちも、木村貴宏、新井伸浩、若林信、亀田祥倫、横堀久雄、鴨川浩、重田智、奥田淳、沼田誠也、林勇雄、馬場充子、なかじまちゅうじ、原田大基、橋本浩一、大塚健、松田宗一郎、米澤優、永作友克、胡拓磨、黒田結花、小松勇輝、國行由里江、吉原達矢、小島崇史、藤井慎吾、松島晃、西田亜沙子、高橋しんや、飯飼一幸、雨宮哲、光田史亮、小野田和由、山田憲一、りぱ、岩瀧智、道解慎太郎、小田裕康、やぐちひろこ、青木哲朗、砂川正和、北川隆之、安藤正浩、佐々木貴宏、芳尾英明、田中宏紀、高橋賢、吉田徹","常田真太郎、大橋卓弥","YUI、ゆうや、常田真太郎、大橋卓弥、明希、福原美穂","福原美穂、CHEMISTRY、SCANDAL、スキマスイッチ、YUI","南雅彦","丸山博雄、米内則智、大山良、倉重宣之",,"BONES","http://www.hagaren.jp/fa/","https://bangumi.tv/subject/1428"
"10","Tom and Jerry","8.8","4070","猫和老鼠","161",,,"Tom and Jerry (1960s packaged show) 猫和老鼠 电视播放版 托姆和小杰瑞","1940年2月10日",,,"William Hanna (1940–58) Joseph Barbera (1940–58 / 2005) Gene Deitch (1961–62) Chuck Jones (1963–67) Maurice Noble (1964–67) Abe Levitow (1965–67) Tom Ray (1966–67) Ben Washam (1966–67)","William Hanna (1940–58) Joseph Barbera (1940–58) Gene Deitch (1961–62) Eli Bauer (1961–62) Larz Bourne (1961–62) Michael Maltese (1963–67) Jim Pabian (1965) Bob Ogle (1966–67) John W. Dunn (1965–67)",,,"Scott Bradley→Steven Konichek→Eugene Poddany / Dean Elliott / Carl Brandt→J. Eric Schmidt→Michael Giacchino",,,,,,,,,,,,,,"Metro-Goldwyn-Mayer cartoon studio→Rembrandt Films cartoons→Sib Tower 12 cartoons→Hanna-Barbera Productions / Turner Entertainment","http://www.cartoonnetwork.com/tv_shows/tomjerry/index.html","https://bangumi.tv/subject/25961"
